n,times_dot,times_m
1000,2.177e-6,0.000601304
1000,1.94e-7,0.000575422
1000,2.43e-7,0.000558586
1000,2.55e-7,0.000583577
1000,2.13e-7,0.000597401
1000,3.33e-7,0.000581045
1000,1.8e-7,0.000576414
1000,1.74e-7,0.000572772
1000,1.87e-7,0.000557893
1000,2.51e-7,0.000583243
2000,3.52e-7,0.002545006
2000,3.35e-7,0.0024814
2000,3.33e-7,0.002568655
2000,3.1e-7,0.002483026
2000,3.26e-7,0.002516688
2000,3.15e-7,0.002319907
2000,3.23e-7,0.002398286
2000,3.09e-7,0.002544777
2000,3.51e-7,0.002544354
2000,3.83e-7,0.002275947
3000,6.77e-7,0.005434528
3000,6.11e-7,0.005463949
3000,6.04e-7,0.004997428
3000,5.77e-7,0.005349459
3000,8.17e-7,0.013433932
3000,7.15e-7,0.005308697
3000,7.17e-7,0.005554954
3000,7.22e-7,0.005366305
3000,6.14e-7,0.005353148
3000,7.3e-7,0.005219244
4000,9.45e-7,0.009395356
4000,9.29e-7,0.01118103
4000,9.65e-7,0.008545332
4000,9.46e-7,0.008757782
4000,9.48e-7,0.009681262
4000,8.95e-7,0.008878181
4000,9.14e-7,0.008913631
4000,9.81e-7,0.009739539
4000,9.48e-7,0.009093385
4000,9.28e-7,0.009179526
5000,1.227e-6,0.013841908
5000,1.181e-6,0.013755298
5000,1.194e-6,0.014500285
5000,1.212e-6,0.015521696
5000,3.111e-6,0.013900884
5000,1.239e-6,0.013771117
5000,1.232e-6,0.013899581
5000,1.186e-6,0.013856065
5000,1.232e-6,0.016436022
5000,1.215e-6,0.01374173
6000,1.504e-6,0.030608715
6000,1.419e-6,0.020216659
6000,1.392e-6,0.021366483
6000,1.404e-6,0.022696375
6000,1.411e-6,0.019451509
6000,1.439e-6,0.019286777
6000,1.407e-6,0.024404585
6000,1.418e-6,0.03425578
6000,1.423e-6,0.02067832
6000,1.408e-6,0.031082048
7000,1.687e-6,0.027388776
7000,1.686e-6,0.028604016
7000,1.666e-6,0.038024754
7000,1.638e-6,0.028126257
7000,1.64e-6,0.028099622
7000,1.781e-6,0.029844097
7000,1.716e-6,0.034393945
7000,1.649e-6,0.028137945
7000,1.637e-6,0.029407542
7000,1.709e-6,0.027482951
8000,1.875e-6,0.035849019
8000,1.941e-6,0.032779121
8000,2.078e-6,0.03232578
8000,1.897e-6,0.032744777
8000,1.896e-6,0.036254989
8000,1.926e-6,0.032453498
8000,1.986e-6,0.03297023
8000,1.889e-6,0.032041208
8000,1.966e-6,0.036866662
8000,1.9e-6,0.032089652
9000,2.124e-6,0.042868068
9000,2.188e-6,0.042340681
9000,2.123e-6,0.042603464
9000,2.108e-6,0.042321716
9000,2.083e-6,0.043071753
9000,2.093e-6,0.042414805
9000,2.565e-6,0.04349726
9000,2.218e-6,0.042289033
9000,2.198e-6,0.042774628
9000,2.145e-6,0.042495515
10000,2.571e-6,0.070118728
10000,2.441e-6,0.065178547
10000,2.414e-6,0.052849579
10000,2.315e-6,0.073447166
10000,2.35e-6,0.053325
10000,2.373e-6,0.052605624
10000,2.354e-6,0.053327879
10000,2.492e-6,0.052578992
10000,2.516e-6,0.051777471
10000,2.312e-6,0.05367466
