rep;gsl;better;naive
100;0.000713;0.004802;0.003611
100;0.000760;0.004671;0.003755
100;0.000727;0.004515;0.003512
100;0.000735;0.004549;0.003742
100;0.000700;0.004427;0.003462
100;0.000706;0.004530;0.003453
100;0.000687;0.004373;0.003394
100;0.000704;0.004355;0.003623
100;0.000711;0.004496;0.003571
100;0.000672;0.004183;0.003257
150;0.002101;0.013336;0.010765
150;0.002006;0.013377;0.010580
150;0.002032;0.013383;0.010653
150;0.002061;0.013589;0.010798
150;0.001991;0.013260;0.010399
150;0.002045;0.013300;0.010415
150;0.002066;0.013293;0.010529
150;0.002010;0.013249;0.010442
150;0.002007;0.013259;0.010583
150;0.002052;0.013215;0.010477
200;0.004907;0.031320;0.028465
200;0.004866;0.031710;0.028536
200;0.005167;0.031526;0.028484
200;0.004920;0.031341;0.028704
200;0.004884;0.031292;0.028630
200;0.004900;0.031344;0.028563
200;0.004952;0.032228;0.028966
200;0.004902;0.031289;0.028880
200;0.004852;0.031221;0.028811
200;0.004929;0.031200;0.029023
250;0.009549;0.061087;0.055598
250;0.009499;0.061469;0.055489
250;0.009597;0.060382;0.054125
250;0.009357;0.062160;0.055154
250;0.009599;0.061002;0.054615
250;0.009904;0.061224;0.055830
250;0.009582;0.061146;0.055566
250;0.009522;0.060934;0.055591
250;0.009424;0.061046;0.055840
250;0.009711;0.061071;0.055759
300;0.016359;0.104227;0.102356
300;0.016071;0.103721;0.102734
300;0.016403;0.103417;0.099863
300;0.016506;0.104554;0.103172
300;0.016253;0.103205;0.099803
300;0.016871;0.104039;0.101639
300;0.016560;0.105281;0.100219
300;0.016249;0.104827;0.102025
300;0.016366;0.105407;0.100403
300;0.015830;0.105145;0.101064
350;0.025510;0.167483;0.165574
350;0.026056;0.167433;0.161465
350;0.025877;0.166732;0.172783
350;0.026123;0.166620;0.163453
350;0.025986;0.167625;0.165574
350;0.025825;0.167473;0.164623
350;0.025687;0.167173;0.168658
350;0.025919;0.167076;0.164431
350;0.025746;0.165431;0.166427
350;0.025635;0.166861;0.165731
400;0.038759;0.251969;0.250884
400;0.038519;0.248607;0.248868
400;0.038153;0.251538;0.249289
400;0.038583;0.249441;0.246354
400;0.039108;0.250420;0.248667
400;0.038731;0.259293;0.253840
400;0.038539;0.251487;0.250411
400;0.038681;0.250266;0.245873
400;0.038967;0.249115;0.249453
400;0.038703;0.247009;0.249431
450;0.055013;0.355307;0.345213
450;0.055699;0.354030;0.345285
450;0.055008;0.350705;0.344116
450;0.055407;0.353113;0.341792
450;0.054876;0.353420;0.341754
450;0.055050;0.352886;0.343999
450;0.055155;0.356175;0.346616
450;0.054959;0.356948;0.352178
450;0.055432;0.357173;0.351018
450;0.055722;0.356599;0.346933
500;0.076036;0.490690;0.511637
500;0.075729;0.490520;0.513213
500;0.075413;0.491253;0.512844
500;0.078272;0.489661;0.517092
500;0.076401;0.488598;0.517715
500;0.076290;0.488629;0.511861
500;0.076274;0.484643;0.506087
500;0.075764;0.485383;0.510009
500;0.076717;0.481687;0.512848
500;0.075681;0.481718;0.503943
